ID	Target	Tweet	Stance
10001	Atheism	He who exalts himself shall      be humbled; and he who humbles himself shall be exalted.Matt 23:12.     #SemST	UNKNOWN
10002	Atheism	RT @prayerbullets: I remove Nehushtan -previous moves of God that have become idols, from the high places -2 Kings 18:4 #SemST	UNKNOWN
10003	Atheism	@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST	UNKNOWN
10004	Atheism	#God is utterly powerless without Human intervention... #SemST	UNKNOWN
10005	Atheism	@David_Cameron   Miracles of #Multiculturalism   Miracles of shady 786  #Taqiya #Tawriya #Jaziya #Kafirs #Dhimmi #Jihad #Allah #SemST	UNKNOWN
10006	Atheism	This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST	UNKNOWN
10007	Atheism	Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST	UNKNOWN
10008	Atheism	A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST	UNKNOWN
10009	Atheism	@SecularDutchess I'll be your huckleberry @DeanModified #SemST	UNKNOWN
10010	Atheism	#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST	UNKNOWN
10011	Atheism	If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST	UNKNOWN
10012	Atheism	Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST	UNKNOWN
10013	Atheism	Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST	UNKNOWN
10014	Atheism	These days, the cool kids are atheists.  #freethinker #SemST	UNKNOWN
10015	Atheism	Next time you hear someone say that our Founding Fathers intended a "Christian Nation," show 'em those quotes. #SemST	UNKNOWN
10016	Atheism	#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST	UNKNOWN
10017	Atheism	Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST	UNKNOWN
10018	Atheism	#God > My fears God > My insecurities God > My worry God > My everything #SemST	UNKNOWN
10019	Atheism	Mary, Queen of martyrs, pray for us. #Catholic #SemST	UNKNOWN
10020	Atheism	America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST	UNKNOWN
10021	Atheism	Every life is a profession of faith, and exercises an inevitable and silent influence. ~Henri Frederic Amiel #SemST	UNKNOWN
10022	Atheism	I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST	UNKNOWN
10023	Atheism	He became a slave to the cross that men could go free! #SemST	UNKNOWN
10024	Atheism	Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST	UNKNOWN
10025	Atheism	Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST	UNKNOWN
10026	Atheism	Exo.28.12 - ...So that I, the Lord, will always remember... #SemST	UNKNOWN
10027	Atheism	#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST	UNKNOWN
10028	Atheism	Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST	UNKNOWN
10029	Atheism	Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST	UNKNOWN
10030	Atheism	I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST	UNKNOWN
10031	Atheism	You'll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST	UNKNOWN
10032	Atheism	Jesus response to a religious environment  was to create a royal environment.  It drove people nuts. Still does - thank God #SemST	UNKNOWN
10033	Atheism	Sanctify them through Thy Truth: Thy Word is Truth   John 17:17 KJV  #SemST	UNKNOWN
10034	Atheism	Psalm 86:17 Is. 7:14 God will give you a sign. "Father, within the next 3 days, show me a sign; a token. #SemST	UNKNOWN
10035	Atheism	The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST	UNKNOWN
10036	Atheism	American conservatism has everything to do with religion with all the good stuff taking out of it. #SemST	UNKNOWN
10037	Atheism	The #humanist church is the new cloth. #kissTheRing #tcot #SemST	UNKNOWN
10038	Atheism	You stay the same through the ages, Your love never changes...Your love never fails. #SemST	UNKNOWN
10039	Atheism	Just know that you're not an accident and that you're here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST	UNKNOWN
10040	Atheism	I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won't fade away.   #SemST	UNKNOWN
